canonical_ticker_fja,last_seen_as_is_in_bk,first_absent_in_bk,candidate_new_symbols_in_bk,detection_type,sec_edgar_verdict
CLX,2009-12-31,2010-01-31,"['BRK.B', 'MXB', 'NYSE:\xa0CLF', 'NYSE:\xa0CLX', 'NYSE:\xa0CMS', 'NYSE:\xa0COH', 'NYSE:\xa0SAI', 'NYSE:\xa0V', 'Nasdaq:\xa0CME', 'Nasdaq:\xa0ROST']",구간 중간 이탈 (전환 시점 신규 등장 티커 대조),FALSE POSITIVE (SEC 대조로 확인됨)
CME,2009-12-31,2010-01-31,"['BRK.B', 'MXB', 'NYSE:\xa0CLF', 'NYSE:\xa0CLX', 'NYSE:\xa0CMS', 'NYSE:\xa0COH', 'NYSE:\xa0SAI', 'NYSE:\xa0V', 'Nasdaq:\xa0CME', 'Nasdaq:\xa0ROST']",구간 중간 이탈 (전환 시점 신규 등장 티커 대조),FALSE POSITIVE (SEC 대조로 확인됨)
CMS,2009-12-31,2010-01-31,"['BRK.B', 'MXB', 'NYSE:\xa0CLF', 'NYSE:\xa0CLX', 'NYSE:\xa0CMS', 'NYSE:\xa0COH', 'NYSE:\xa0SAI', 'NYSE:\xa0V', 'Nasdaq:\xa0CME', 'Nasdaq:\xa0ROST']",구간 중간 이탈 (전환 시점 신규 등장 티커 대조),FALSE POSITIVE (SEC 대조로 확인됨)
CPWR,2011-11-30,2011-12-31,['WPX-WI'],구간 중간 이탈 (전환 시점 신규 등장 티커 대조),FALSE POSITIVE (SEC 대조로 확인됨)
DXC,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)"
EKDKQ,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)"
FMCC,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)"
FNMA,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)"
HSH,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)"
IAC,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)"
KATE,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)"
KDP,,2008-10-31,"['AA', 'AOC', 'BHI', 'BTU', 'CBG', 'CIT', 'COH', 'CSC', 'EK', 'ERTS', 'FO', 'FPL', 'GCI', 'JDSU', 'KFT', 'LIZ', 'LTD', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)"
LDOS,,2009-12-31,"['AA', 'AOC', 'BHI', 'BTU', 'CBG', 'COH', 'CSC', 'DPS', 'DV', 'EK', 'ERTS', 'FO', 'FPL', 'GCI', 'HCN', 'JDSU', 'KFT', 'LTD', 'LUK', 'MHP', 'MOT', 'NU', 'RSH', 'SLE', 'TSO', 'WAG', 'WFMI', 'WFR', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)"
LEHMQ,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)"
MTLQQ,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)"
PCP,2015-12-31,2016-01-31,"['CFG', 'FRT']",구간 중간 이탈 (전환 시점 신규 등장 티커 대조),FALSE POSITIVE (SEC 대조로 확인됨)
RSHCQ,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)"
SUNEQ,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)"
TEL,2009-03-31,2009-04-30,['NU'],구간 중간 이탈 (전환 시점 신규 등장 티커 대조),FALSE POSITIVE (SEC 대조로 확인됨)
TMUS,,2009-06-30,"['AA', 'AOC', 'BHI', 'BTU', 'CBG', 'CIT', 'COH', 'CSC', 'DPS', 'DV', 'EK', 'ERTS', 'FO', 'FPL', 'GCI', 'HCN', 'JDSU', 'KFT', 'LTD', 'LUK', 'MHP', 'MOT', 'NU', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)"
UST,2008-11-30,2008-12-31,['IRM'],구간 중간 이탈 (전환 시점 신규 등장 티커 대조),FALSE POSITIVE (SEC 대조로 확인됨)
VIAV,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)"
WAMUQ,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)"
WYND,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)"
